标题： 时间替谢耳朵报复了威尔·惠顿 	 链接：http://tieba.baidu.com//p/2057431156 	 发帖人：GQ依靠 	 发帖时间：2013-05 	 回复数量： 64 
标题： 霍金走了，我以为他和谢耳朵一样年纪呢，没想到已经七十六了 	 链接：http://tieba.baidu.com//p/5595604098 	 发帖人：zcn1993 	 发帖时间：3-14 	 回复数量： 1 
标题： 这是真实的霍金吗 	 链接：http://tieba.baidu.com//p/2894575796 	 发帖人：湿情浪荡子 	 发帖时间：2014-03 	 回复数量： 81 
标题： 历史上的今天系列之3月14日 	 链接：http://tieba.baidu.com//p/5595123589 	 发帖人：algiso 	 发帖时间：3-14 	 回复数量： 2 
标题： 终于截下来这个图了，son of a biscuit! 	 链接：http://tieba.baidu.com//p/3616098768 	 发帖人：猴子请来... 	 发帖时间：2015-03 	 回复数量： 67 
标题： 下一集生活大爆炸应该会设计相应的剧情来几年霍金的去世吧！ 	 链接：http://tieba.baidu.com//p/5595188122 	 发帖人：信幻1 	 发帖时间：3-14 	 回复数量： 3 
标题： 重温了下第五季，突然发现小谢尔顿里谢尔顿的爹在生活大爆炸里客 	 链接：http://tieba.baidu.com//p/5559042447 	 发帖人：SylviaCJY 	 发帖时间：2-21 	 回复数量： 16 
标题： 我仿佛知道了下一期生活大爆炸的故事，霍金 	 链接：http://tieba.baidu.com//p/5595132672 	 发帖人：在花果山... 	 发帖时间：3-14 	 回复数量： 1 
标题： 【著名物理学家史蒂芬·霍金去世】 	 链接：http://tieba.baidu.com//p/5595160437 	 发帖人：玺子 	 发帖时间：3-14 	 回复数量： 1 
标题： 伤心呀，伤心 	 链接：http://tieba.baidu.com//p/5595150269 	 发帖人：南方小铁匠 	 发帖时间：3-14 	 回复数量： 2 
标题： 我也知道tbbt会单独拍一集关于谢尔顿和兰对霍金的思念 	 链接：http://tieba.baidu.com//p/5595517658 	 发帖人：o失恋太少o 	 发帖时间：3-14 	 回复数量： 0 
标题： 重量级演员离开大爆炸了不过这个演员完全可以用已有视频资料参与 	 链接：http://tieba.baidu.com//p/5595320184 	 发帖人：poolbali 	 发帖时间：3-14 	 回复数量： 1 
标题： 《生活大爆炸》Raj前女友大集会 	 链接：http://tieba.baidu.com//p/4948944696 	 发帖人：我才是SHEIDEN 	 发帖时间：2017-01 	 回复数量： 33 
标题： 如何成为像谢耳朵这样的人。 	 链接：http://tieba.baidu.com//p/5591891305 	 发帖人：鴞之歌 	 发帖时间：3-12 	 回复数量： 7 
标题： 史蒂芬霍金去世了啊 不知道谢尔顿会有多伤心 	 链接：http://tieba.baidu.com//p/5595162880 	 发帖人：8天水三千8 	 发帖时间：3-14 	 回复数量： 1 
标题： He Acquires Wonderful Knowledge In Night Galaxy. 	 链接：http://tieba.baidu.com//p/5595134411 	 发帖人：chinacaicai 	 发帖时间：3-14 	 回复数量： 0 
标题： 谢耳朵，你的老朋友霍金已经离你而去，永远不再回来 	 链接：http://tieba.baidu.com//p/5595076197 	 发帖人：algiso 	 发帖时间：3-14 	 回复数量： 5 
标题： 物理学家Stephen Hawking去世了，不知道tbbt 	 链接：http://tieba.baidu.com//p/5595066986 	 发帖人：蔚然没成... 	 发帖时间：3-14 	 回复数量： 2 
标题： 天堂又需要一个物理学家了，所以上帝把霍金带到了天堂 	 链接：http://tieba.baidu.com//p/5595119866 	 发帖人：极光天翔爱 	 发帖时间：3-14 	 回复数量： 7 
标题： 霍金教授去世，享年76岁 	 链接：http://tieba.baidu.com//p/5595073046 	 发帖人：费米实验室 	 发帖时间：3-14 	 回复数量： 2 
标题： 【TBBT】比尔•盖茨客串《生活大爆炸》 	 链接：http://tieba.baidu.com//p/5559680935 	 发帖人：玺子 	 发帖时间：2-21 	 回复数量： 2 
标题： 哇，霍金去世了  谢耳朵要难受了 	 链接：http://tieba.baidu.com//p/5595057412 	 发帖人：迷迷药7g 	 发帖时间：3-14 	 回复数量： 3 
标题： 史蒂芬·霍金去世 终年76岁 	 链接：http://tieba.baidu.com//p/5595065439 	 发帖人：人生苦短XD 	 发帖时间：3-14 	 回复数量： 0 
标题： 霍金去世了……耳朵要伤心死了 	 链接：http://tieba.baidu.com//p/5595058109 	 发帖人：sj199605 	 发帖时间：3-14 	 回复数量： 0 
标题： 这部片子，特幽默搞笑了。 	 链接：http://tieba.baidu.com//p/5595056074 	 发帖人：小语儿爱... 	 发帖时间：3-14 	 回复数量： 0 
标题： r=a(1－sinθ),哪位数学高手知道怎么解不，笛卡尔的爱的几何公式 	 链接：http://tieba.baidu.com//p/1266217819 	 发帖人：andromeda11 	 发帖时间：2014-02 	 回复数量： 45 
标题： 昨天看见一个新闻，一老大爷吃鱼不吐鱼刺，结果肠道里面扎了一百 	 链接：http://tieba.baidu.com//p/5595019133 	 发帖人：麻麻容 	 发帖时间：3-14 	 回复数量： 0 
标题： 【资原帖】生活大爆炸1-11，中英双字高 青，2楼来 	 链接：http://tieba.baidu.com//p/5593559119 	 发帖人：小可爱迷... 	 发帖时间：3-13 	 回复数量： 5 
标题： 情人节看谢耳朵准备礼物哈哈，笑死了 	 链接：http://tieba.baidu.com//p/5551981406 	 发帖人：玩转美剧... 	 发帖时间：2-14 	 回复数量： 3 
标题： 太伤人了！Howard说笑竟遭美女血损 	 链接：http://tieba.baidu.com//p/5593755547 	 发帖人：玩转美剧... 	 发帖时间：3-13 	 回复数量： 1 
标题： 从第三季到第十季居然真的照应这句台词了 	 链接：http://tieba.baidu.com//p/4920803165 	 发帖人：ok说什么... 	 发帖时间：2016-12 	 回复数量： 14 
标题： 路边的花不要采 	 链接：http://tieba.baidu.com//p/5592509360 	 发帖人：龙龙龙571 	 发帖时间：3-13 	 回复数量： 0 
标题： 我发表了一篇图片贴，大伙来看看吧~ 	 链接：http://tieba.baidu.com//p/5592799862 	 发帖人：做最做最... 	 发帖时间：3-13 	 回复数量： 0 
标题： 我在第二季最后一集发现了一些小细节，很有意思 	 链接：http://tieba.baidu.com//p/5060890115 	 发帖人：159456789aaazz 	 发帖时间：2017-04 	 回复数量： 15 
标题： 还有人记得谢耳朵鄙视霍华德是工程师 这是哪一集吗 	 链接：http://tieba.baidu.com//p/5566637420 	 发帖人：纪检年份瞻 	 发帖时间：2-26 	 回复数量： 4 
标题： 你们有数过这么多季一共说了多少个SOAB 	 链接：http://tieba.baidu.com//p/5591722913 	 发帖人：宇文93 	 发帖时间：3-12 	 回复数量： 0 
标题： 这就是我觉得两部剧的不同 	 链接：http://tieba.baidu.com//p/5572174923 	 发帖人：科学官谢... 	 发帖时间：3-1 	 回复数量： 2 
标题： 有人知道tbbt里面谢耳朵家里的白板和那个支架在哪里有同款卖 	 链接：http://tieba.baidu.com//p/5569871484 	 发帖人：熊瘾宝宝 	 发帖时间：2-28 	 回复数量： 2 
标题： 惊了！谢尔顿居然没坐在他的专座上！ 	 链接：http://tieba.baidu.com//p/5551044576 	 发帖人：太宰疲 	 发帖时间：2-13 	 回复数量： 7 
标题： 没人提到谢尔顿的妈妈得了奥斯卡最佳女配角提名吗？ 	 链接：http://tieba.baidu.com//p/5591075905 	 发帖人：kayely 	 发帖时间：3-12 	 回复数量： 1 
标题： 为什么第一季第八集他们要无视raj 	 链接：http://tieba.baidu.com//p/5591009053 	 发帖人：XAA 	 发帖时间：3-12 	 回复数量： 0 
